device: mps
train: 1457  val: 181  test (held-out): 181
tokenizer params: 17.4K
epoch   1/80  loss 0.0785  train_recon 0.0784  val_recon 0.0714  codebook 100%  lr 5.74e-05
epoch   2/80  loss 0.0647  train_recon 0.0647  val_recon 0.0478  codebook 100%  lr 1.17e-04
epoch   3/80  loss 0.0288  train_recon 0.0286  val_recon 0.0152  codebook 100%  lr 1.77e-04
epoch   4/80  loss 0.0117  train_recon 0.0115  val_recon 0.0089  codebook 100%  lr 2.37e-04
epoch   5/80  loss 0.0095  train_recon 0.0093  val_recon 0.0083  codebook 100%  lr 2.97e-04
epoch   6/80  loss 0.0087  train_recon 0.0085  val_recon 0.0073  codebook 97%  lr 3.00e-04
epoch   7/80  loss 0.0067  train_recon 0.0066  val_recon 0.0046  codebook 98%  lr 3.00e-04
epoch   8/80  loss 0.0042  train_recon 0.0041  val_recon 0.0036  codebook 100%  lr 2.99e-04
epoch   9/80  loss 0.0037  train_recon 0.0035  val_recon 0.0032  codebook 100%  lr 2.98e-04
epoch  10/80  loss 0.0032  train_recon 0.0030  val_recon 0.0028  codebook 100%  lr 2.97e-04
epoch  11/80  loss 0.0029  train_recon 0.0028  val_recon 0.0026  codebook 100%  lr 2.96e-04
epoch  12/80  loss 0.0027  train_recon 0.0026  val_recon 0.0024  codebook 100%  lr 2.94e-04
epoch  13/80  loss 0.0026  train_recon 0.0024  val_recon 0.0023  codebook 100%  lr 2.92e-04
epoch  14/80  loss 0.0025  train_recon 0.0023  val_recon 0.0022  codebook 100%  lr 2.90e-04
epoch  15/80  loss 0.0024  train_recon 0.0022  val_recon 0.0021  codebook 100%  lr 2.88e-04
epoch  16/80  loss 0.0023  train_recon 0.0021  val_recon 0.0020  codebook 100%  lr 2.85e-04
epoch  17/80  loss 0.0023  train_recon 0.0021  val_recon 0.0020  codebook 100%  lr 2.82e-04
epoch  18/80  loss 0.0022  train_recon 0.0020  val_recon 0.0019  codebook 100%  lr 2.79e-04
epoch  19/80  loss 0.0022  train_recon 0.0020  val_recon 0.0019  codebook 100%  lr 2.76e-04
epoch  20/80  loss 0.0021  train_recon 0.0019  val_recon 0.0019  codebook 100%  lr 2.72e-04
epoch  21/80  loss 0.0021  train_recon 0.0019  val_recon 0.0018  codebook 100%  lr 2.69e-04
epoch  22/80  loss 0.0021  train_recon 0.0019  val_recon 0.0018  codebook 100%  lr 2.65e-04
epoch  23/80  loss 0.0020  train_recon 0.0018  val_recon 0.0017  codebook 100%  lr 2.61e-04
epoch  24/80  loss 0.0020  train_recon 0.0018  val_recon 0.0017  codebook 100%  lr 2.57e-04
epoch  25/80  loss 0.0020  train_recon 0.0017  val_recon 0.0017  codebook 100%  lr 2.52e-04
epoch  26/80  loss 0.0019  train_recon 0.0017  val_recon 0.0016  codebook 100%  lr 2.48e-04
epoch  27/80  loss 0.0019  train_recon 0.0017  val_recon 0.0016  codebook 100%  lr 2.43e-04
epoch  28/80  loss 0.0019  train_recon 0.0016  val_recon 0.0016  codebook 100%  lr 2.38e-04
epoch  29/80  loss 0.0018  train_recon 0.0016  val_recon 0.0015  codebook 100%  lr 2.33e-04
epoch  30/80  loss 0.0018  train_recon 0.0016  val_recon 0.0015  codebook 100%  lr 2.28e-04
epoch  31/80  loss 0.0018  train_recon 0.0015  val_recon 0.0015  codebook 100%  lr 2.22e-04
epoch  32/80  loss 0.0017  train_recon 0.0015  val_recon 0.0014  codebook 100%  lr 2.17e-04
epoch  33/80  loss 0.0017  train_recon 0.0015  val_recon 0.0014  codebook 100%  lr 2.11e-04
epoch  34/80  loss 0.0017  train_recon 0.0015  val_recon 0.0014  codebook 100%  lr 2.06e-04
epoch  35/80  loss 0.0017  train_recon 0.0014  val_recon 0.0014  codebook 100%  lr 2.00e-04
epoch  36/80  loss 0.0016  train_recon 0.0014  val_recon 0.0013  codebook 100%  lr 1.94e-04
